??:??:??  $GPGSV,3,1,10,03,30,129,34,06,56,277,47,11,24,297,40,14,48,020,46*74
17:54:15  $GPGSV,3,2,11,17,59,135,45,19,59,198,47,20,03,336,28,24,09,243,27*71
17:54:15  $GPGSV,3,3,11,28,,,42,36,48,022,45,49,48,337,46*79
17:54:15  $GLGSV,3,1,09,65,00,162,,66,24,113,33,67,21,057,29,79,31,348,44*65
17:54:15  $GLGSV,3,2,09,80,52,264,,81,26,134,35,82,51,195,45,83,32,255,29*6E
17:54:15  $GLGSV,3,3,09,,,,26*68
17:54:15  $GNGLL,3352.55904,S,01836.68942,E,175415.00,A,D*6B
17:54:16  $GNRMC,175416.00,A,3352.55902,S,01836.68945,E,0.011,,190822,,,D*70
17:54:16  $GNVTG,,T,,M,0.011,N,0.019,K,D*30
17:54:16  $GNGGA,175416.00,3352.55902,S,01836.68945,E,2,11,0.94,227.0,M,31.2,M,,0000*50
17:54:16  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:16  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:16  $GPGSV,3,1,11,03,30,129,39,06,57,276,49,11,24,297,39,14,47,020,45*74
17:54:16  $GPGSV,3,2,11,17,59,135,47,19,59,198,48,20,03,336,28,24,09,243,29*72
17:54:16  $GPGSV,3,3,11,28,,,44,36,48,022,46,49,48,337,48*72
17:54:16  $GLGSV,3,1,09,65,00,162,,66,24,113,34,67,21,057,28,79,31,348,42*65
17:54:16  $GLGSV,3,2,09,80,52,264,,81,26,134,35,82,51,195,43,83,32,255,29*68
17:54:16  $GLGSV,3,3,09,,,,26*68
17:54:16  $GNGLL,3352.55902,S,01836.68945,E,175416.00,A,D*69
17:54:17  $GNRMC,175417.00,A,3352.55902,S,01836.68952,E,0.063,,190822,,,D*72
17:54:17  $GNVTG,,T,,M,0.063,N,0.117,K,D*3A
17:54:17  $GNGGA,175417.00,3352.55902,S,01836.68952,E,2,11,0.94,227.2,M,31.2,M,,0000*55
17:54:17  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:17  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:17  $GPGSV,3,1,11,03,30,129,40,06,57,276,48,11,24,297,41,14,47,020,47*76
17:54:17  $GPGSV,3,2,11,17,59,135,46,19,59,198,48,20,03,336,33,24,09,243,28*78
17:54:17  $GPGSV,3,3,11,28,,,42,36,48,022,47,49,48,337,49*74
17:54:17  $GLGSV,3,1,09,65,00,162,,66,24,113,33,67,21,057,29,79,31,348,44*65
17:54:17  $GLGSV,3,2,09,80,52,264,,81,26,134,36,82,51,195,45,83,32,255,30*65
17:54:17  $GLGSV,3,3,09,,,,26*68
17:54:17  $GNGLL,3352.55902,S,01836.68952,E,175417.00,A,D*6E
17:54:18  $GNRMC,175418.00,A,3352.55900,S,01836.68954,E,0.053,,190822,,,D*7A
17:54:18  $GNVTG,,T,,M,0.053,N,0.098,K,D*3F
17:54:18  $GNGGA,175418.00,3352.55900,S,01836.68954,E,2,11,0.94,227.4,M,31.2,M,,0000*58
17:54:18  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:18  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:18  $GPGSV,3,1,11,03,30,129,38,06,57,276,48,11,24,297,38,14,47,020,45*75
17:54:18  $GPGSV,3,2,11,17,59,135,46,19,59,198,47,20,03,336,31,24,09,243,27*7A
17:54:18  $GPGSV,3,3,11,28,,,43,36,48,022,47,49,48,337,48*74
17:54:18  $GLGSV,3,1,09,65,00,162,,66,24,113,36,67,21,057,29,79,31,348,42*66
17:54:18  $GLGSV,3,2,09,80,52,264,,81,26,134,34,82,51,195,46,83,32,255,30*64
17:54:18  $GLGSV,3,3,09,,,,27*69
17:54:18  $GNGLL,3352.55900,S,01836.68954,E,175418.00,A,D*65
17:54:19  $GNRMC,175419.00,A,3352.55895,S,01836.68962,E,0.110,,190822,,,D*75
17:54:19  $GNVTG,,T,,M,0.110,N,0.204,K,D*3E
17:54:19  $GNGGA,175419.00,3352.55895,S,01836.68962,E,2,11,0.94,227.6,M,31.2,M,,0000*53
17:54:19  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:19  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:19  $GPGSV,3,1,11,03,30,129,40,06,57,276,47,11,24,297,41,14,47,020,45*7B
17:54:19  $GPGSV,3,2,11,17,59,135,46,19,59,198,48,20,03,336,32,24,09,243,29*78
17:54:19  $GPGSV,3,3,11,28,,,43,36,48,022,46,49,48,337,47*7A
17:54:19  $GLGSV,3,1,09,65,00,162,,66,24,113,31,67,21,057,28,79,31,348,41*63
17:54:19  $GLGSV,3,2,09,80,52,264,,81,26,134,34,82,51,195,47,83,32,255,30*65
17:54:19  $GLGSV,3,3,09,,,,25*6B
17:54:19  $GNGLL,3352.55895,S,01836.68962,E,175419.00,A,D*6C
17:54:20  $GNRMC,175420.00,A,3352.55887,S,01836.68967,E,0.176,,190822,,,D*79
17:54:20  $GNVTG,,T,,M,0.176,N,0.327,K,D*3E
17:54:20  $GNGGA,175420.00,3352.55887,S,01836.68967,E,2,11,0.94,227.9,M,31.2,M,,0000*50
17:54:20  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:20  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:20  $GPGSV,3,1,11,03,30,129,37,06,57,276,48,11,24,297,38,14,47,020,42*7D
17:54:20  $GPGSV,3,2,11,17,59,135,47,19,59,198,47,20,03,336,32,24,09,243,27*78
17:54:20  $GPGSV,3,3,11,28,,,43,36,48,022,44,49,48,337,46*79
17:54:20  $GLGSV,3,1,09,65,00,162,,66,24,113,34,67,21,057,26,79,31,348,38*66
17:54:20  $GLGSV,3,2,09,80,52,264,,81,26,134,37,82,51,195,43,83,32,255,29*6A
17:54:20  $GLGSV,3,3,09,,,,28*66
17:54:20  $GNGLL,3352.55887,S,01836.68967,E,175420.00,A,D*60
17:54:21  $GNRMC,175421.00,A,3352.55881,S,01836.68969,E,0.063,,190822,,,D*75
17:54:21  $GNVTG,,T,,M,0.063,N,0.117,K,D*3A
17:54:21  $GNGGA,175421.00,3352.55881,S,01836.68969,E,2,11,0.94,228.1,M,31.2,M,,0000*5E
17:54:21  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:21  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
